Item Name ,SKU Code,category,Sub Cat,Colour/Size,Cost (RMB),Sell Price,Stock Qty,Wt,Wt Unit,Pics,Desc,Brand,Active?,barcode/UPC,Ship Req
Wireless Bluetooth Earbuds Pro X5 , EB-X5-BLK ,Electronics,Audio,Black / Standard,89.00,$34.99,120,45,g,https://supplierimg.cn/p1a.jpg;https://supplierimg.cn/p1b.jpg,"<p>Premium sound, 30h battery, touch control.</p>",SoundMax,Y,6934567890123,yes
Wireless Bluetooth Earbuds Pro X5,EB-X5-WHT,Electronics,Audio,White / Standard,89.00,34.99 USD,75,45,g,https://supplierimg.cn/p1c.jpg,,SoundMax,Y,6934567890124,yes
Stainless Steel Water Bottle 750ml,SSB-750-SIL,Home & Kitchen,Drinkware,Silver / 750ml,25.5,12.99,0,320,g,https://supplierimg.cn/p2a.jpg,"Keeps drinks cold 24h, hot 12h. BPA free.",HydroLife,y,6934500011122,Yes
Stainless Steel Water Bottle 750ml,SSB-750-BLU,Home & Kitchen,Drinkware,Blue / 750ml,25.5,12.99,340,0.32,kg,https://supplierimg.cn/p2b.jpg,,HydroLife,Y,6934500011123,Yes
Stainless Steel Water Bottle 1L,SSB-1000-BLU, Home & Kitchen ,Drinkware,Blue / 1000ml,29,14.99,88,410,g,https://supplierimg.cn/p2c.jpg,,HydroLife,Y,,Yes
LED Ring Light 10inch w/ Tripod,,Electronics,Photography,Standard,60,29.99,N/A,900,g,https://supplierimg.cn/p3a.jpg,"3 color modes, adjustable stand 50-160cm",LumaTech,Y,6934511122233,TRUE
Kids Cartoon Backpack Dinosaur,BP-DINO-GRN,Bags,Kids,Green / One Size,18,9.5,200,380,grams,https://supplierimg.cn/p4a.jpg,Waterproof lining. Ages 3-8.,PlayPack,Y,6934522233344,true
Kids Cartoon Backpack Unicorn,BP-UNI-PNK,Bags,Kids,Pink/OneSize,18.00,9.50,0,380,g,https://supplierimg.cn/p4b.jpg,Waterproof lining. Ages 3-8.,PlayPack,N,6934522233345,true
Yoga Mat Non-Slip 6mm,YM-6MM-PUR,"Sports, Fitness",Yoga,Purple / 6mm,32,15.99,54,1100,g,https://supplierimg.cn/p5a.jpg;https://supplierimg.cn/p5b.jpg;https://supplierimg.cn/p5c.jpg,Eco TPE material. Includes carry strap.,FlexFit,Y,6934533344455,Y
Yoga Mat Non-Slip 6mm,YM-6MM-TEA,Sports,Yoga,Teal / 6mm,32,15.99,61,1.1,kg,https://supplierimg.cn/p5d.jpg,Eco TPE material. Includes carry strap.,FlexFit,Y,6934533344456,Y
Magnetic Phone Car Mount,,Electronics,Accessories,Universal,12,7.99,410,60,g,https://supplierimg.cn/p6a.jpg,360 rotation strong magnet,GripTech,Y,,1
Stainless Steel Water Bottle 750ml,SSB-750-SIL,Home & Kitchen,Drinkware,Silver / 750ml,25.5,12.99,0,320,g,https://supplierimg.cn/p2a.jpg,"Keeps drinks cold 24h, hot 12h. BPA free.",HydroLife,y,6934500011122,Yes
Ceramic Coffee Mug Set of 4,MUG-SET4-WHT,Home & Kitchen,Drinkware,White / 350ml x4,,19.99,15,1450,g,https://supplierimg.cn/p7a.jpg,Microwave & dishwasher safe.,HomeBrew,Y,6934544455566,yes
Pet Grooming Glove Deshedding,PGG-STD-GRY,Pet Supplies,Grooming,Grey / Standard,9,6.5,0,110,g,https://supplierimg.cn/p8a.jpg,Fits most hand sizes. Silicone tips.,PawCare,discontinued,6934555566677,yes
Resistance Bands Set 5pc,RBS-5PC-MULTI,Sports,Fitness,Multicolor / Set of 5,14,8.99,220,,g,https://supplierimg.cn/p9a.jpg,"Latex bands, varying resistance levels.",FlexFit,Y,6934566677788,yes
